"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
"accompagnant éducatif et social / accompagnante éducative et sociale";http://www.onisep.fr/http/redirection/metier/slug/MET.782;"Les métiers au service des autres";"Zoom sur les métiers";2019;9782273014878;"GFE R : santé, social, soins personnels";K1301;"Accompagnement médicosocial";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1301;"santé - social - sport/travail social"
"accompagnateur / accompagnatrice en moyenne montagne";http://www.onisep.fr/http/redirection/metier/slug/MET.784;"Les métiers de la montagne";Parcours;2018;9782273013925;"GFE S : hôtellerie,  tourisme, loisirs";G1201;"Accompagnement de voyages, d'activités culturelles ou sportives";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1201;"santé - social - sport/sport| hôtellerie - restauration - tourisme/tourisme"
"acheteur / acheteuse";http://www.onisep.fr/http/redirection/metier/slug/MET.571;"Les métiers de la mode et du luxe";Parcours;2019;9782273014564;"GFE Q : commerce, gestion, finances";M1101;Achat;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1101;"commerce, marketing, vente/achat, approvisionnement| commerce, marketing, vente/grande distribution et petits commerces"
actuaire;http://www.onisep.fr/http/redirection/metier/slug/MET.861;"Les métiers des mathématiques et de l'informatique";"Zoom sur les métiers";2015;9782273012652;"GFE Q : commerce, gestion, finances";C1105;"Études actuarielles en assurances";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1105;"banque - assurances - immobilier/assurances| sciences/mathématiques"
"administrateur / administratrice de biens";http://www.onisep.fr/http/redirection/metier/slug/MET.396;"Les métiers du droit";Parcours;2020;9782273015202;"GFE Q : commerce, gestion, finances";C1501;"Gérance immobilière";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1501;"banque - assurances - immobilier/immobilier"
"administrateur / administratrice de mission humanitaire";http://www.onisep.fr/http/redirection/metier/slug/MET.816;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";;;;"gestion des entreprises, comptabilité/administration de l'entreprise| gestion des entreprises, comptabilité/comptabilité| santé - social - sport/travail social"
"administrateur territorial / administratrice territoriale";http://www.onisep.fr/http/redirection/metier/slug/MET.122;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";;;;"économie - droit - politique/droit public| économie - droit - politique/sciences économiques"
"agenceur / agenceuse de cuisines et salles de bains";http://www.onisep.fr/http/redirection/metier/slug/MET.405;"Les métiers du bâtiment et des travaux publics";Parcours;2019;9782273014540;"GFE C : bâtiment";H2206;"Réalisation de menuiserie bois et tonnellerie";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2206;"construction - architecture - travaux publics/agencement| construction - architecture - travaux publics/ameublement| matières premières, fabrication, industries/bois| construction - architecture - travaux publics/menuiserie"
"agent / agente d'escale";http://www.onisep.fr/http/redirection/metier/slug/MET.597;"Les métiers du tourisme";Parcours;2019;9782273014526;"GFE O : transport, logistique";N2201;"Personnel d'escale aéroportuaire";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N2201;"logistique - transport/transport"
"agent / agente d'exploitation de l'eau";http://www.onisep.fr/http/redirection/metier/slug/MET.509;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";K2301;"Distribution et assainissement d'eau";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2301;"environnement - énergies - propreté/gestion de l'eau"
"agent / agente de développement local";http://www.onisep.fr/http/redirection/metier/slug/MET.922;"Les métiers du social";Parcours;2019;9782273014571;"GFE T : environnement, nettoyage, sécurité";K1802;"Développement local";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1802;"environnement - énergies - propreté/aménagement du territoire| santé - social - sport/travail social"
"agent / agente de propreté urbaine";http://www.onisep.fr/http/redirection/metier/slug/MET.588;"Les métiers de la propreté et des services associés";"Zoom sur les métiers";2017;9782273013796;"GFE T : environnement, nettoyage, sécurité";K2303;"Nettoyage des espaces urbains";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2303;"environnement - énergies - propreté/déchets, pollutions et risques| environnement - énergies - propreté/propreté"
"agent général / agente générale d'assurances";http://www.onisep.fr/http/redirection/metier/slug/MET.409;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";C1103;"Courtage en assurances";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1103;"banque - assurances - immobilier/assurances"
"agriculteur / agricultrice";http://www.onisep.fr/http/redirection/metier/slug/MET.547;"Les métiers de l'agriculture";"Zoom sur les métiers";2021;9782273015608;"GFE A : agriculture";A1416;"Polyculture, élevage";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1416;"agriculture, animaux/agriculture (généralités)| agriculture, animaux/cultures| agriculture, animaux/élevage - aquaculture"
aide-chimiste;http://www.onisep.fr/http/redirection/metier/slug/MET.952;"Les métiers de l'industrie du médicament";"Zoom sur les métiers";2017;9782273013642;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1503;"Intervention technique en laboratoire d'analyse industrielle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1503;sciences/chimie
"ajusteur-monteur / ajusteuse-monteuse";http://www.onisep.fr/http/redirection/metier/slug/MET.575;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE F : mécanique";H2901;"Ajustement et montage de fabrication";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2901;"mécanique/mécanique (généralités)"
"analyste de crédit";http://www.onisep.fr/http/redirection/metier/slug/MET.661;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";C1202;"Analyse de crédits et risques bancaires";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1202;"banque - assurances - immobilier/banque"
"animalier / animalière de laboratoire";http://www.onisep.fr/http/redirection/metier/slug/MET.320;"Les métiers auprès des animaux";Parcours;2019;9782273014588;"GFE A : agriculture";A1408;"Élevage d'animaux sauvages ou de compagnie";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1408;"sciences/biologie| agriculture, animaux/soins aux animaux"
"animateur / animatrice d'activités physiques et sportives pour tous";http://www.onisep.fr/http/redirection/metier/slug/MET.808;"Les métiers auprès des enfants";Parcours;2020;9782273015189;"GFE S : hôtellerie,  tourisme, loisirs";G1204;"Éducation en activités sportives";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1204;"santé - social - sport/sport"
"animateur / animatrice d'activités physiques et sportives pour tous";http://www.onisep.fr/http/redirection/metier/slug/MET.808;"Les métiers de l'animation";"Zoom sur les métiers";2019;9782273014892;"GFE S : hôtellerie,  tourisme, loisirs";G1204;"Éducation en activités sportives";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1204;"santé - social - sport/sport"
"animateur / animatrice du patrimoine";http://www.onisep.fr/http/redirection/metier/slug/MET.445;"Les métiers de la culture et du patrimoine";Parcours;2018;9782273013338;"GFE S : hôtellerie,  tourisme, loisirs";G1102;"Promotion du tourisme local";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1102;"arts, culture, artisanat/activités culturelles| hôtellerie - restauration - tourisme/tourisme"
"animateur socioculturel / animatrice socioculturelle";http://www.onisep.fr/http/redirection/metier/slug/MET.65;"Les métiers au service des autres";"Zoom sur les métiers";2019;9782273014878;"GFE S : hôtellerie,  tourisme, loisirs";K1206;"Intervention socioculturelle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1206;"santé - social - sport/travail social"
"aquaculteur / aquacultrice";http://www.onisep.fr/http/redirection/metier/slug/MET.90;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE B : pêche, mer";A1404;Aquaculture;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1404;"agriculture, animaux/élevage - aquaculture"
"architecte d'intérieur";http://www.onisep.fr/http/redirection/metier/slug/MET.258;"Les métiers du design";Parcours;2019;9782273014595;"GFE C : bâtiment";F1102;"Conception - aménagement d'espaces intérieurs";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1102;"arts, culture, artisanat/arts appliqués"
"architecte réseaux";http://www.onisep.fr/http/redirection/metier/slug/MET.551;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1804;"Études et développement de réseaux de télécoms";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1804;"informatique, internet/systèmes et réseaux| électricité - électronique - robotique/télécommunications"
"artiste de cirque";http://www.onisep.fr/http/redirection/metier/slug/MET.779;;"pas de publication Onisep spécifique";;;"GFE V : arts, spectacle, audiovisuel";L1204;"Arts du cirque et arts visuels";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1204;"arts, culture, artisanat/arts du spectacle| santé - social - sport/sport"
"assistant / assistante en architecture";http://www.onisep.fr/http/redirection/metier/slug/MET.648;"Les métiers de l'architecture, de l'urbanisme et du paysage";Parcours;2020;9782273015196;"GFE C : bâtiment";;;;"construction - architecture - travaux publics/architecture| construction - architecture - travaux publics/bureau d'études BTP| informatique, internet/informatique industrielle et technologique"
"assistant commercial / assistante commerciale";http://www.onisep.fr/http/redirection/metier/slug/MET.28;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";D1401;"Assistanat commercial";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1401;"gestion des entreprises, comptabilité/secrétariat"
"attaché / attachée d'administration";http://www.onisep.fr/http/redirection/metier/slug/MET.687;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";;;;"gestion des entreprises, comptabilité/administration de l'entreprise| économie - droit - politique/droit (généralités)| économie - droit - politique/sciences économiques| économie - droit - politique/sciences politiques"
"attaché / attachée de recherche clinique";http://www.onisep.fr/http/redirection/metier/slug/MET.300;"Les métiers de l'industrie du médicament";"Zoom sur les métiers";2017;9782273013642;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"santé - social - sport/santé (généralités)"
audioprothésiste;http://www.onisep.fr/http/redirection/metier/slug/MET.676;"Les métiers du paramédical";Parcours;2017;9782273013314;"GFE R : santé, social, soins personnels";J1401;Audioprothèses;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1401;"santé - social - sport/paramédical"
"auditeur / auditrice externe";http://www.onisep.fr/http/redirection/metier/slug/MET.591;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";M1402;"Conseil en organisation et management d'entreprise";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1402;"gestion des entreprises, comptabilité/administration de l'entreprise| informatique, internet/informatique (généralités)"
"auteur-compositeur interprète / auteure-compositrice interprète";http://www.onisep.fr/http/redirection/metier/slug/MET.584;;"pas de publication Onisep spécifique";;;"GFE V : arts, spectacle, audiovisuel";L1202;"Musique et chant";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1202;"arts, culture, artisanat/arts du spectacle"
"auxiliaire de puériculture";http://www.onisep.fr/http/redirection/metier/slug/MET.415;"Les métiers au service des autres";"Zoom sur les métiers";2019;9782273014878;"GFE R : santé, social, soins personnels";J1304;"Aide en puériculture";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1304;"santé - social - sport/paramédical"
"barman / barmaid";http://www.onisep.fr/http/redirection/metier/slug/MET.145;"Les métiers de l'hôtellerie et de la restauration";Parcours;2018;9782273013895;"GFE S : hôtellerie,  tourisme, loisirs";G1801;"Café, bar brasserie";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1801;"hôtellerie - restauration - tourisme/restauration"
bibliothécaire;http://www.onisep.fr/http/redirection/metier/slug/MET.44;"Les métiers du livre";Parcours;2021;9782273015851;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";K1601;"Gestion de l'information et de la documentation";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1601;"information-communication, audiovisuel/bibliothèque - documentation"
"biologiste médical / médicale";http://www.onisep.fr/http/redirection/metier/slug/MET.812;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";J1201;"Biologie médicale";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1201;"sciences/biologie| santé - social - sport/médical"
"boucher / bouchère";http://www.onisep.fr/http/redirection/metier/slug/MET.268;"Les métiers du goût et des saveurs";Parcours;2021;9782273015721;"GFE K : production alimentaire";D1101;Boucherie;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1101;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/grande distribution et petits commerces"
"brodeur / brodeuse";http://www.onisep.fr/http/redirection/metier/slug/MET.188;"Les métiers de la mode et du luxe";Parcours;2019;9782273014564;"GFE L : textile, habillement, cuir";B1804;"Réalisation d'ouvrages d'art en fils";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1804;"arts, culture, artisanat/artisanat d'art| matières premières, fabrication, industries/textile - habillement"
"caissier / caissière";http://www.onisep.fr/http/redirection/metier/slug/MET.151;"Les métiers du commerce alimentaire de proximité";"Zoom sur les métiers";2020;9782273014915;"GFE Q : commerce, gestion, finances";D1505;"Personnel de caisse";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1505;"commerce, marketing, vente/grande distribution et petits commerces"
cartographe;http://www.onisep.fr/http/redirection/metier/slug/MET.31;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";M1808;"Information géographique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1808;"histoire-géographie, psychologie, sociologie/géographie| sciences/sciences de la Terre"
